block,flat_type,unit_no,floor,stack,status,size,cost
111B,2-Room Flexi (Short Lease/99-Year Lease),#12-66,12,66,available,38 Sqm,"$59,600 - 15 Years
$71,600 - 20 Years
$81,400 - 25 Years
$89,500 - 30 Years
$96,300 - 35 Years
$102,100 - 40 Years
$107,000 - 45 Years
$178,900 - 99 Years"
111B,2-Room Flexi (Short Lease/99-Year Lease),#01-68,01,68,available,47 Sqm,"$69,100 - 15 Years
$83,000 - 20 Years
$94,400 - 25 Years
$103,700 - 30 Years
$111,700 - 35 Years
$118,400 - 40 Years
$124,100 - 45 Years
$207,400 - 99 Years"
111B,2-Room Flexi (Short Lease/99-Year Lease),#02-68,02,68,available,47 Sqm,"$70,800 - 15 Years
$85,000 - 20 Years
$96,600 - 25 Years
$106,200 - 30 Years
$114,300 - 35 Years
$121,200 - 40 Years
$127,100 - 45 Years
$212,400 - 99 Years"
111B,2-Room Flexi (Short Lease/99-Year Lease),#03-68,03,68,available,47 Sqm,"$71,600 - 15 Years
$86,000 - 20 Years
$97,800 - 25 Years
$107,500 - 30 Years
$115,700 - 35 Years
$122,700 - 40 Years
$128,600 - 45 Years
$214,900 - 99 Years"
111B,2-Room Flexi (Short Lease/99-Year Lease),#04-68,04,68,available,47 Sqm,"$72,500 - 15 Years
$87,000 - 20 Years
$98,900 - 25 Years
$108,700 - 30 Years
$117,000 - 35 Years
$124,100 - 40 Years
$130,100 - 45 Years
$217,400 - 99 Years"
111B,2-Room Flexi (Short Lease/99-Year Lease),#05-68,05,68,available,47 Sqm,"$73,300 - 15 Years
$88,000 - 20 Years
$100,100 - 25 Years
$110,000 - 30 Years
$118,400 - 35 Years
$125,500 - 40 Years
$131,600 - 45 Years
$219,900 - 99 Years"
111B,2-Room Flexi (Short Lease/99-Year Lease),#06-68,06,68,available,47 Sqm,"$74,600 - 15 Years
$89,600 - 20 Years
$101,900 - 25 Years
$112,000 - 30 Years
$120,500 - 35 Years
$127,800 - 40 Years
$134,000 - 45 Years
$223,900 - 99 Years"
111B,2-Room Flexi (Short Lease/99-Year Lease),#07-68,07,68,booked,,
111B,2-Room Flexi (Short Lease/99-Year Lease),#08-68,08,68,available,47 Sqm,"$76,600 - 15 Years
$92,000 - 20 Years
$104,600 - 25 Years
$115,000 - 30 Years
$123,800 - 35 Years
$131,200 - 40 Years
$137,600 - 45 Years
$229,900 - 99 Years"
111B,2-Room Flexi (Short Lease/99-Year Lease),#09-68,09,68,available,47 Sqm,"$76,900 - 15 Years
$92,300 - 20 Years
$105,000 - 25 Years
$115,400 - 30 Years
$124,200 - 35 Years
$131,700 - 40 Years
$138,000 - 45 Years
$230,700 - 99 Years"
111B,2-Room Flexi (Short Lease/99-Year Lease),#10-68,10,68,available,47 Sqm,"$77,200 - 15 Years
$92,600 - 20 Years
$105,300 - 25 Years
$115,800 - 30 Years
$124,600 - 35 Years
$132,100 - 40 Years
$138,500 - 45 Years
$231,500 - 99 Years"
111B,2-Room Flexi (Short Lease/99-Year Lease),#11-68,11,68,available,47 Sqm,"$77,400 - 15 Years
$92,900 - 20 Years
$105,700 - 25 Years
$116,200 - 30 Years
$125,100 - 35 Years
$132,600 - 40 Years
$139,000 - 45 Years
$232,300 - 99 Years"
111B,2-Room Flexi (Short Lease/99-Year Lease),#12-68,12,68,booked,,
111B,2-Room Flexi (Short Lease/99-Year Lease),#01-70,01,70,available,47 Sqm,"$69,100 - 15 Years
$83,000 - 20 Years
$94,400 - 25 Years
$103,700 - 30 Years
$111,700 - 35 Years
$118,400 - 40 Years
$124,100 - 45 Years
$207,400 - 99 Years"
111B,2-Room Flexi (Short Lease/99-Year Lease),#02-70,02,70,available,47 Sqm,"$70,800 - 15 Years
$85,000 - 20 Years
$96,600 - 25 Years
$106,200 - 30 Years
$114,300 - 35 Years
$121,200 - 40 Years
$127,100 - 45 Years
$212,400 - 99 Years"
111B,2-Room Flexi (Short Lease/99-Year Lease),#03-70,03,70,available,47 Sqm,"$71,600 - 15 Years
$86,000 - 20 Years
$97,800 - 25 Years
$107,500 - 30 Years
$115,700 - 35 Years
$122,700 - 40 Years
$128,600 - 45 Years
$214,900 - 99 Years"
111B,2-Room Flexi (Short Lease/99-Year Lease),#04-70,04,70,available,47 Sqm,"$72,500 - 15 Years
$87,000 - 20 Years
$98,900 - 25 Years
$108,700 - 30 Years
$117,000 - 35 Years
$124,100 - 40 Years
$130,100 - 45 Years
$217,400 - 99 Years"
111B,2-Room Flexi (Short Lease/99-Year Lease),#05-70,05,70,available,47 Sqm,"$73,300 - 15 Years
$88,000 - 20 Years
$100,100 - 25 Years
$110,000 - 30 Years
$118,400 - 35 Years
$125,500 - 40 Years
$131,600 - 45 Years
$219,900 - 99 Years"
111B,2-Room Flexi (Short Lease/99-Year Lease),#06-70,06,70,available,47 Sqm,"$74,600 - 15 Years
$89,600 - 20 Years
$101,900 - 25 Years
$112,000 - 30 Years
$120,500 - 35 Years
$127,800 - 40 Years
$134,000 - 45 Years
$223,900 - 99 Years"
111B,2-Room Flexi (Short Lease/99-Year Lease),#07-70,07,70,available,47 Sqm,"$76,000 - 15 Years
$91,200 - 20 Years
$103,700 - 25 Years
$114,000 - 30 Years
$122,700 - 35 Years
$130,100 - 40 Years
$136,400 - 45 Years
$227,900 - 99 Years"
111B,2-Room Flexi (Short Lease/99-Year Lease),#08-70,08,70,booked,,
111B,2-Room Flexi (Short Lease/99-Year Lease),#09-70,09,70,available,47 Sqm,"$76,900 - 15 Years
$92,300 - 20 Years
$105,000 - 25 Years
$115,400 - 30 Years
$124,200 - 35 Years
$131,700 - 40 Years
$138,000 - 45 Years
$230,700 - 99 Years"
111B,2-Room Flexi (Short Lease/99-Year Lease),#10-70,10,70,booked,,
111B,2-Room Flexi (Short Lease/99-Year Lease),#11-70,11,70,available,47 Sqm,"$77,400 - 15 Years
$92,900 - 20 Years
$105,700 - 25 Years
$116,200 - 30 Years
$125,100 - 35 Years
$132,600 - 40 Years
$139,000 - 45 Years
$232,300 - 99 Years"
111B,2-Room Flexi (Short Lease/99-Year Lease),#12-70,12,70,booked,,
111B,2-Room Flexi (Short Lease/99-Year Lease),#01-72,01,72,available,47 Sqm,"$69,100 - 15 Years
$83,000 - 20 Years
$94,400 - 25 Years
$103,700 - 30 Years
$111,700 - 35 Years
$118,400 - 40 Years
$124,100 - 45 Years
$207,400 - 99 Years"
111B,2-Room Flexi (Short Lease/99-Year Lease),#02-72,02,72,available,47 Sqm,"$70,800 - 15 Years
$85,000 - 20 Years
$96,600 - 25 Years
$106,200 - 30 Years
$114,300 - 35 Years
$121,200 - 40 Years
$127,100 - 45 Years
$212,400 - 99 Years"
111B,2-Room Flexi (Short Lease/99-Year Lease),#03-72,03,72,available,47 Sqm,"$71,600 - 15 Years
$86,000 - 20 Years
$97,800 - 25 Years
$107,500 - 30 Years
$115,700 - 35 Years
$122,700 - 40 Years
$128,600 - 45 Years
$214,900 - 99 Years"
111B,2-Room Flexi (Short Lease/99-Year Lease),#04-72,04,72,available,47 Sqm,"$72,500 - 15 Years
$87,000 - 20 Years
$98,900 - 25 Years
$108,700 - 30 Years
$117,000 - 35 Years
$124,100 - 40 Years
$130,100 - 45 Years
$217,400 - 99 Years"
111B,2-Room Flexi (Short Lease/99-Year Lease),#05-72,05,72,available,47 Sqm,"$73,300 - 15 Years
$88,000 - 20 Years
$100,100 - 25 Years
$110,000 - 30 Years
$118,400 - 35 Years
$125,500 - 40 Years
$131,600 - 45 Years
$219,900 - 99 Years"
111B,2-Room Flexi (Short Lease/99-Year Lease),#06-72,06,72,available,47 Sqm,"$74,600 - 15 Years
$89,600 - 20 Years
$101,900 - 25 Years
$112,000 - 30 Years
$120,500 - 35 Years
$127,800 - 40 Years
$134,000 - 45 Years
$223,900 - 99 Years"
111B,2-Room Flexi (Short Lease/99-Year Lease),#07-72,07,72,available,47 Sqm,"$76,000 - 15 Years
$91,200 - 20 Years
$103,700 - 25 Years
$114,000 - 30 Years
$122,700 - 35 Years
$130,100 - 40 Years
$136,400 - 45 Years
$227,900 - 99 Years"
111B,2-Room Flexi (Short Lease/99-Year Lease),#08-72,08,72,available,47 Sqm,"$76,600 - 15 Years
$92,000 - 20 Years
$104,600 - 25 Years
$115,000 - 30 Years
$123,800 - 35 Years
$131,200 - 40 Years
$137,600 - 45 Years
$229,900 - 99 Years"
111B,2-Room Flexi (Short Lease/99-Year Lease),#09-72,09,72,available,47 Sqm,"$76,900 - 15 Years
$92,300 - 20 Years
$105,000 - 25 Years
$115,400 - 30 Years
$124,200 - 35 Years
$131,700 - 40 Years
$138,000 - 45 Years
$230,700 - 99 Years"
111B,2-Room Flexi (Short Lease/99-Year Lease),#10-72,10,72,available,47 Sqm,"$77,200 - 15 Years
$92,600 - 20 Years
$105,300 - 25 Years
$115,800 - 30 Years
$124,600 - 35 Years
$132,100 - 40 Years
$138,500 - 45 Years
$231,500 - 99 Years"
111B,2-Room Flexi (Short Lease/99-Year Lease),#11-72,11,72,available,47 Sqm,"$77,400 - 15 Years
$92,900 - 20 Years
$105,700 - 25 Years
$116,200 - 30 Years
$125,100 - 35 Years
$132,600 - 40 Years
$139,000 - 45 Years
$232,300 - 99 Years"
111B,2-Room Flexi (Short Lease/99-Year Lease),#12-72,12,72,booked,,
111B,2-Room Flexi (Short Lease/99-Year Lease),#13-72,13,72,booked,,
111B,2-Room Flexi (Short Lease/99-Year Lease),#14-72,14,72,available,47 Sqm,"$79,600 - 15 Years
$95,500 - 20 Years
$108,600 - 25 Years
$119,400 - 30 Years
$128,500 - 35 Years
$136,300 - 40 Years
$142,800 - 45 Years
$238,700 - 99 Years"
111B,2-Room Flexi (Short Lease/99-Year Lease),#15-72,15,72,booked,,
111B,2-Room Flexi (Short Lease/99-Year Lease),#16-72,16,72,booked,,
111B,2-Room Flexi (Short Lease/99-Year Lease),#02-74,02,74,available,47 Sqm,"$70,800 - 15 Years
$85,000 - 20 Years
$96,600 - 25 Years
$106,200 - 30 Years
$114,300 - 35 Years
$121,200 - 40 Years
$127,100 - 45 Years
$212,400 - 99 Years"
111B,2-Room Flexi (Short Lease/99-Year Lease),#03-74,03,74,available,47 Sqm,"$71,600 - 15 Years
$86,000 - 20 Years
$97,800 - 25 Years
$107,500 - 30 Years
$115,700 - 35 Years
$122,700 - 40 Years
$128,600 - 45 Years
$214,900 - 99 Years"
111B,2-Room Flexi (Short Lease/99-Year Lease),#04-74,04,74,available,47 Sqm,"$72,500 - 15 Years
$87,000 - 20 Years
$98,900 - 25 Years
$108,700 - 30 Years
$117,000 - 35 Years
$124,100 - 40 Years
$130,100 - 45 Years
$217,400 - 99 Years"
111B,2-Room Flexi (Short Lease/99-Year Lease),#05-74,05,74,available,47 Sqm,"$73,300 - 15 Years
$88,000 - 20 Years
$100,100 - 25 Years
$110,000 - 30 Years
$118,400 - 35 Years
$125,500 - 40 Years
$131,600 - 45 Years
$219,900 - 99 Years"
111B,2-Room Flexi (Short Lease/99-Year Lease),#06-74,06,74,booked,,
111B,2-Room Flexi (Short Lease/99-Year Lease),#07-74,07,74,available,47 Sqm,"$76,000 - 15 Years
$91,200 - 20 Years
$103,700 - 25 Years
$114,000 - 30 Years
$122,700 - 35 Years
$130,100 - 40 Years
$136,400 - 45 Years
$227,900 - 99 Years"
111B,2-Room Flexi (Short Lease/99-Year Lease),#08-74,08,74,available,47 Sqm,"$76,600 - 15 Years
$92,000 - 20 Years
$104,600 - 25 Years
$115,000 - 30 Years
$123,800 - 35 Years
$131,200 - 40 Years
$137,600 - 45 Years
$229,900 - 99 Years"
111B,2-Room Flexi (Short Lease/99-Year Lease),#09-74,09,74,available,47 Sqm,"$76,900 - 15 Years
$92,300 - 20 Years
$105,000 - 25 Years
$115,400 - 30 Years
$124,200 - 35 Years
$131,700 - 40 Years
$138,000 - 45 Years
$230,700 - 99 Years"
111B,2-Room Flexi (Short Lease/99-Year Lease),#10-74,10,74,available,47 Sqm,"$77,200 - 15 Years
$92,600 - 20 Years
$105,300 - 25 Years
$115,800 - 30 Years
$124,600 - 35 Years
$132,100 - 40 Years
$138,500 - 45 Years
$231,500 - 99 Years"
111B,2-Room Flexi (Short Lease/99-Year Lease),#11-74,11,74,available,47 Sqm,"$77,400 - 15 Years
$92,900 - 20 Years
$105,700 - 25 Years
$116,200 - 30 Years
$125,100 - 35 Years
$132,600 - 40 Years
$139,000 - 45 Years
$232,300 - 99 Years"
111B,2-Room Flexi (Short Lease/99-Year Lease),#12-74,12,74,available,47 Sqm,"$77,700 - 15 Years
$93,200 - 20 Years
$106,100 - 25 Years
$116,600 - 30 Years
$125,500 - 35 Years
$133,100 - 40 Years
$139,500 - 45 Years
$233,100 - 99 Years"
111B,2-Room Flexi (Short Lease/99-Year Lease),#13-74,13,74,booked,,
111B,2-Room Flexi (Short Lease/99-Year Lease),#14-74,14,74,available,47 Sqm,"$79,600 - 15 Years
$95,500 - 20 Years
$108,600 - 25 Years
$119,400 - 30 Years
$128,500 - 35 Years
$136,300 - 40 Years
$142,800 - 45 Years
$238,700 - 99 Years"
111B,2-Room Flexi (Short Lease/99-Year Lease),#15-74,15,74,booked,,
111B,2-Room Flexi (Short Lease/99-Year Lease),#16-74,16,74,booked,,
111B,4-Room,#02-76,02,76,available,93 Sqm,"$452,400"
111B,4-Room,#03-76,03,76,available,93 Sqm,"$456,900"
111B,4-Room,#04-76,04,76,available,93 Sqm,"$461,400"
111B,4-Room,#05-76,05,76,available,93 Sqm,"$465,900"
111B,4-Room,#06-76,06,76,available,93 Sqm,"$469,400"
111B,4-Room,#07-76,07,76,available,93 Sqm,"$472,900"
111B,4-Room,#08-76,08,76,available,93 Sqm,"$476,400"
111B,4-Room,#09-76,09,76,available,93 Sqm,"$477,800"
111B,4-Room,#10-76,10,76,available,93 Sqm,"$479,200"
111B,4-Room,#11-76,11,76,available,93 Sqm,"$480,600"
111B,4-Room,#12-76,12,76,available,93 Sqm,"$482,000"
111B,4-Room,#13-76,13,76,available,93 Sqm,"$492,100"
111B,4-Room,#14-76,14,76,available,93 Sqm,"$502,200"
111B,4-Room,#15-76,15,76,available,93 Sqm,"$503,600"
111B,4-Room,#16-76,16,76,available,93 Sqm,"$503,600"
111B,4-Room,#06-78,06,78,available,93 Sqm,"$469,400"
111B,4-Room,#07-78,07,78,available,93 Sqm,"$472,900"
111B,4-Room,#08-78,08,78,available,93 Sqm,"$476,400"
111B,4-Room,#09-78,09,78,available,93 Sqm,"$477,800"
111B,4-Room,#10-78,10,78,available,93 Sqm,"$479,200"
111B,4-Room,#11-78,11,78,available,93 Sqm,"$480,600"
111B,4-Room,#12-78,12,78,available,93 Sqm,"$482,000"
111B,4-Room,#13-78,13,78,available,93 Sqm,"$492,100"
111B,4-Room,#14-78,14,78,available,93 Sqm,"$493,500"
111B,4-Room,#15-78,15,78,booked,,
111B,4-Room,#16-78,16,78,available,93 Sqm,"$494,900"
111B,4-Room,#06-80,06,80,available,93 Sqm,"$478,100"
111B,4-Room,#07-80,07,80,available,93 Sqm,"$481,600"
111B,4-Room,#08-80,08,80,available,93 Sqm,"$485,100"
111B,4-Room,#09-80,09,80,available,93 Sqm,"$486,500"
111B,4-Room,#10-80,10,80,available,93 Sqm,"$487,900"
111B,4-Room,#11-80,11,80,available,93 Sqm,"$489,300"
111B,4-Room,#12-80,12,80,booked,,
111B,4-Room,#13-80,13,80,available,93 Sqm,"$500,800"
111B,4-Room,#14-80,14,80,available,93 Sqm,"$502,200"
111B,4-Room,#15-80,15,80,available,93 Sqm,"$503,600"
111B,4-Room,#16-80,16,80,booked,,
112A,2-Room Flexi (Short Lease/99-Year Lease),#03-82,03,82,available,38 Sqm,"$54,100 - 15 Years
$64,900 - 20 Years
$73,800 - 25 Years
$81,200 - 30 Years
$87,400 - 35 Years
$92,600 - 40 Years
$97,100 - 45 Years
$162,300 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#04-82,04,82,available,38 Sqm,"$54,900 - 15 Years
$65,900 - 20 Years
$75,000 - 25 Years
$82,400 - 30 Years
$88,700 - 35 Years
$94,100 - 40 Years
$98,600 - 45 Years
$164,800 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#05-82,05,82,available,38 Sqm,"$55,800 - 15 Years
$66,900 - 20 Years
$76,100 - 25 Years
$83,700 - 30 Years
$90,100 - 35 Years
$95,500 - 40 Years
$100,100 - 45 Years
$167,300 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#06-82,06,82,available,38 Sqm,"$57,500 - 15 Years
$69,000 - 20 Years
$78,500 - 25 Years
$86,300 - 30 Years
$92,900 - 35 Years
$98,500 - 40 Years
$103,200 - 45 Years
$172,500 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#07-82,07,82,available,38 Sqm,"$58,200 - 15 Years
$69,800 - 20 Years
$79,400 - 25 Years
$87,300 - 30 Years
$93,900 - 35 Years
$99,600 - 40 Years
$104,400 - 45 Years
$174,500 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#08-82,08,82,available,38 Sqm,"$58,800 - 15 Years
$70,600 - 20 Years
$80,300 - 25 Years
$88,300 - 30 Years
$95,000 - 35 Years
$100,800 - 40 Years
$105,600 - 45 Years
$176,500 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#09-82,09,82,available,38 Sqm,"$59,100 - 15 Years
$70,900 - 20 Years
$80,700 - 25 Years
$88,700 - 30 Years
$95,400 - 35 Years
$101,200 - 40 Years
$106,100 - 45 Years
$177,300 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#10-82,10,82,available,38 Sqm,"$59,400 - 15 Years
$71,200 - 20 Years
$81,000 - 25 Years
$89,100 - 30 Years
$95,900 - 35 Years
$101,700 - 40 Years
$106,600 - 45 Years
$178,100 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#11-82,11,82,available,38 Sqm,"$59,600 - 15 Years
$71,600 - 20 Years
$81,400 - 25 Years
$89,500 - 30 Years
$96,300 - 35 Years
$102,100 - 40 Years
$107,000 - 45 Years
$178,900 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#12-82,12,82,available,38 Sqm,"$59,600 - 15 Years
$71,600 - 20 Years
$81,400 - 25 Years
$89,500 - 30 Years
$96,300 - 35 Years
$102,100 - 40 Years
$107,000 - 45 Years
$178,900 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#03-84,03,84,available,38 Sqm,"$54,100 - 15 Years
$64,900 - 20 Years
$73,800 - 25 Years
$81,200 - 30 Years
$87,400 - 35 Years
$92,600 - 40 Years
$97,100 - 45 Years
$162,300 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#04-84,04,84,available,38 Sqm,"$54,900 - 15 Years
$65,900 - 20 Years
$75,000 - 25 Years
$82,400 - 30 Years
$88,700 - 35 Years
$94,100 - 40 Years
$98,600 - 45 Years
$164,800 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#05-84,05,84,available,38 Sqm,"$55,800 - 15 Years
$66,900 - 20 Years
$76,100 - 25 Years
$83,700 - 30 Years
$90,100 - 35 Years
$95,500 - 40 Years
$100,100 - 45 Years
$167,300 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#06-84,06,84,available,38 Sqm,"$56,400 - 15 Years
$67,700 - 20 Years
$77,000 - 25 Years
$84,700 - 30 Years
$91,100 - 35 Years
$96,600 - 40 Years
$101,300 - 45 Years
$169,300 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#07-84,07,84,available,38 Sqm,"$57,100 - 15 Years
$68,500 - 20 Years
$77,900 - 25 Years
$85,700 - 30 Years
$92,200 - 35 Years
$97,800 - 40 Years
$102,500 - 45 Years
$171,300 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#08-84,08,84,available,38 Sqm,"$57,800 - 15 Years
$69,300 - 20 Years
$78,900 - 25 Years
$86,700 - 30 Years
$93,300 - 35 Years
$98,900 - 40 Years
$103,700 - 45 Years
$173,300 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#09-84,09,84,available,38 Sqm,"$58,000 - 15 Years
$69,600 - 20 Years
$79,200 - 25 Years
$87,100 - 30 Years
$93,700 - 35 Years
$99,400 - 40 Years
$104,200 - 45 Years
$174,100 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#10-84,10,84,available,38 Sqm,"$58,300 - 15 Years
$70,000 - 20 Years
$79,600 - 25 Years
$87,500 - 30 Years
$94,200 - 35 Years
$99,800 - 40 Years
$104,600 - 45 Years
$174,900 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#11-84,11,84,available,38 Sqm,"$58,600 - 15 Years
$70,300 - 20 Years
$79,900 - 25 Years
$87,900 - 30 Years
$94,600 - 35 Years
$100,300 - 40 Years
$105,100 - 45 Years
$175,700 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#12-84,12,84,available,38 Sqm,"$58,600 - 15 Years
$70,300 - 20 Years
$79,900 - 25 Years
$87,900 - 30 Years
$94,600 - 35 Years
$100,300 - 40 Years
$105,100 - 45 Years
$175,700 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#01-86,01,86,available,47 Sqm,"$70,500 - 15 Years
$84,600 - 20 Years
$96,200 - 25 Years
$105,700 - 30 Years
$113,800 - 35 Years
$120,700 - 40 Years
$126,500 - 45 Years
$211,400 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#02-86,02,86,available,47 Sqm,"$72,100 - 15 Years
$86,600 - 20 Years
$98,500 - 25 Years
$108,200 - 30 Years
$116,500 - 35 Years
$123,500 - 40 Years
$129,500 - 45 Years
$216,400 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#03-86,03,86,available,47 Sqm,"$73,000 - 15 Years
$87,600 - 20 Years
$99,600 - 25 Years
$109,500 - 30 Years
$117,800 - 35 Years
$125,000 - 40 Years
$131,000 - 45 Years
$218,900 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#04-86,04,86,available,47 Sqm,"$73,800 - 15 Years
$88,600 - 20 Years
$100,700 - 25 Years
$110,700 - 30 Years
$119,200 - 35 Years
$126,400 - 40 Years
$132,500 - 45 Years
$221,400 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#05-86,05,86,available,47 Sqm,"$74,600 - 15 Years
$89,600 - 20 Years
$101,900 - 25 Years
$112,000 - 30 Years
$120,500 - 35 Years
$127,800 - 40 Years
$134,000 - 45 Years
$223,900 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#06-86,06,86,available,47 Sqm,"$75,300 - 15 Years
$90,400 - 20 Years
$102,800 - 25 Years
$113,000 - 30 Years
$121,600 - 35 Years
$129,000 - 40 Years
$135,200 - 45 Years
$225,900 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#07-86,07,86,available,47 Sqm,"$76,000 - 15 Years
$91,200 - 20 Years
$103,700 - 25 Years
$114,000 - 30 Years
$122,700 - 35 Years
$130,100 - 40 Years
$136,400 - 45 Years
$227,900 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#08-86,08,86,booked,,
112A,2-Room Flexi (Short Lease/99-Year Lease),#09-86,09,86,booked,,
112A,2-Room Flexi (Short Lease/99-Year Lease),#10-86,10,86,booked,,
112A,2-Room Flexi (Short Lease/99-Year Lease),#11-86,11,86,available,47 Sqm,"$77,400 - 15 Years
$92,900 - 20 Years
$105,700 - 25 Years
$116,200 - 30 Years
$125,100 - 35 Years
$132,600 - 40 Years
$139,000 - 45 Years
$232,300 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#12-86,12,86,booked,,
112A,2-Room Flexi (Short Lease/99-Year Lease),#01-88,01,88,available,47 Sqm,"$70,500 - 15 Years
$84,600 - 20 Years
$96,200 - 25 Years
$105,700 - 30 Years
$113,800 - 35 Years
$120,700 - 40 Years
$126,500 - 45 Years
$211,400 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#02-88,02,88,available,47 Sqm,"$72,100 - 15 Years
$86,600 - 20 Years
$98,500 - 25 Years
$108,200 - 30 Years
$116,500 - 35 Years
$123,500 - 40 Years
$129,500 - 45 Years
$216,400 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#03-88,03,88,available,47 Sqm,"$73,000 - 15 Years
$87,600 - 20 Years
$99,600 - 25 Years
$109,500 - 30 Years
$117,800 - 35 Years
$125,000 - 40 Years
$131,000 - 45 Years
$218,900 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#04-88,04,88,available,47 Sqm,"$73,800 - 15 Years
$88,600 - 20 Years
$100,700 - 25 Years
$110,700 - 30 Years
$119,200 - 35 Years
$126,400 - 40 Years
$132,500 - 45 Years
$221,400 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#05-88,05,88,booked,,
112A,2-Room Flexi (Short Lease/99-Year Lease),#06-88,06,88,available,47 Sqm,"$75,300 - 15 Years
$90,400 - 20 Years
$102,800 - 25 Years
$113,000 - 30 Years
$121,600 - 35 Years
$129,000 - 40 Years
$135,200 - 45 Years
$225,900 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#07-88,07,88,available,47 Sqm,"$76,000 - 15 Years
$91,200 - 20 Years
$103,700 - 25 Years
$114,000 - 30 Years
$122,700 - 35 Years
$130,100 - 40 Years
$136,400 - 45 Years
$227,900 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#08-88,08,88,booked,,
112A,2-Room Flexi (Short Lease/99-Year Lease),#09-88,09,88,booked,,
112A,2-Room Flexi (Short Lease/99-Year Lease),#10-88,10,88,booked,,
112A,2-Room Flexi (Short Lease/99-Year Lease),#11-88,11,88,booked,,
112A,2-Room Flexi (Short Lease/99-Year Lease),#12-88,12,88,booked,,
112A,2-Room Flexi (Short Lease/99-Year Lease),#01-90,01,90,available,47 Sqm,"$70,500 - 15 Years
$84,600 - 20 Years
$96,200 - 25 Years
$105,700 - 30 Years
$113,800 - 35 Years
$120,700 - 40 Years
$126,500 - 45 Years
$211,400 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#02-90,02,90,available,47 Sqm,"$72,100 - 15 Years
$86,600 - 20 Years
$98,500 - 25 Years
$108,200 - 30 Years
$116,500 - 35 Years
$123,500 - 40 Years
$129,500 - 45 Years
$216,400 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#03-90,03,90,available,47 Sqm,"$73,000 - 15 Years
$87,600 - 20 Years
$99,600 - 25 Years
$109,500 - 30 Years
$117,800 - 35 Years
$125,000 - 40 Years
$131,000 - 45 Years
$218,900 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#04-90,04,90,available,47 Sqm,"$73,800 - 15 Years
$88,600 - 20 Years
$100,700 - 25 Years
$110,700 - 30 Years
$119,200 - 35 Years
$126,400 - 40 Years
$132,500 - 45 Years
$221,400 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#05-90,05,90,available,47 Sqm,"$74,600 - 15 Years
$89,600 - 20 Years
$101,900 - 25 Years
$112,000 - 30 Years
$120,500 - 35 Years
$127,800 - 40 Years
$134,000 - 45 Years
$223,900 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#06-90,06,90,available,47 Sqm,"$75,300 - 15 Years
$90,400 - 20 Years
$102,800 - 25 Years
$113,000 - 30 Years
$121,600 - 35 Years
$129,000 - 40 Years
$135,200 - 45 Years
$225,900 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#07-90,07,90,booked,,
112A,2-Room Flexi (Short Lease/99-Year Lease),#08-90,08,90,booked,,
